1
149.557	129.24	125.854	125.286	125.19	125.174	125.172	125.171	125.171	125.171	125.171	125.171	125.171	125.171	125.171	125.171	125.171	125.171	125.171	125.171	125.171	125.171	125.171	125.171	125.172	125.174	125.19	125.286	125.854	129.24	149.557	
129.24	108.456	104.967	104.381	104.282	104.266	104.263	104.263	104.262	104.262	104.262	104.262	104.262	104.262	104.262	104.262	104.262	104.262	104.262	104.262	104.262	104.262	104.262	104.263	104.263	104.266	104.282	104.381	104.967	108.456	129.24	
125.854	104.967	101.437	100.842	100.742	100.725	100.722	100.722	100.722	100.722	100.722	100.722	100.722	100.722	100.722	100.722	100.722	100.722	100.722	100.722	100.722	100.722	100.722	100.722	100.722	100.725	100.742	100.842	101.437	104.967	125.854	
125.286	104.381	100.842	100.244	100.143	100.126	100.123	100.122	100.122	100.122	100.122	100.122	100.122	100.122	100.122	100.122	100.122	100.122	100.122	100.122	100.122	100.122	100.122	100.122	100.123	100.126	100.143	100.244	100.842	104.381	125.286	
125.19	104.282	100.742	100.143	100.041	100.024	100.021	100.021	100.021	100.021	100.021	100.021	100.021	100.021	100.021	100.021	100.021	100.021	100.021	100.021	100.021	100.021	100.021	100.021	100.021	100.024	100.041	100.143	100.742	104.282	125.19	
125.174	104.266	100.725	100.126	100.024	100.007	100.004	100.004	100.004	100.004	100.004	100.004	100.004	100.004	100.004	100.004	100.004	100.004	100.004	100.004	100.004	100.004	100.004	100.004	100.004	100.007	100.024	100.126	100.725	104.266	125.174	
125.172	104.263	100.722	100.123	100.021	100.004	100.001	100.001	100.001	100.001	100.001	100.001	100.001	100.001	100.001	100.001	100.001	100.001	100.001	100.001	100.001	100.001	100.001	100.001	100.001	100.004	100.021	100.123	100.722	104.263	125.172	
125.171	104.263	100.722	100.122	100.021	100.004	100.001	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100.001	100.004	100.021	100.122	100.722	104.263	125.171	
125.171	104.262	100.722	100.122	100.021	100.004	100.001	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100.001	100.004	100.021	100.122	100.722	104.262	125.171	
125.171	104.262	100.722	100.122	100.021	100.004	100.001	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100.001	100.004	100.021	100.122	100.722	104.262	125.171	
